PSS10_avg,Dem_age
2.1,30
3.1,77
2.6,34
3.5,29
2.3,27
2.6,30
2.3,31
2.2,35
3,22
3.2,40
2.8,39
1.6,62
2.8,30
3.4,43
2.8,62
3.4,34
2.1,52
1.4,57
2.4,58
3,35
NA,45
3.8,34
2.9,33
2.2,23
2.5,48
4.5,27
2.4,27
2.6,36
1.9,60
4.3,30
2.7,27
4.3,43
3.1,53
3.5,49
2.6,54
3.2,29
3.8,27
3.2,21
3.4,19
2.6,52
3.7,31
2.1,30
4.3,33
3.1,32
2.8,36
3.4,27
4.2,20
3,35
3.1,30
3.3,50
NA,60
1.7,25
3.3,33
2.8,26
NA,48
1.8,55
3.3,41
2.2,20
4.2,36
4.6,25
2.2,69
2.3,64
1.9,67
1.9,56
2.9,24
NA,63
4.1,44
NA,37
3.3,67
2.4,54
2.7,27
2.9,18
2.1,45
3.5,52
3.3,54
3,51
2.2,26
2.7,35
3,37
2.8,75
1.7,53
2.9,24
4,24
NA,57
3.1,61
2.1,29
1.6,26
3.6,31
1.6,50
1.3,50
3.4,40
3,46
3.3,28
2.375,36
2,58
3.1,24
2.7,49
2.3,39
4.5,19
NA,58
3.6,26
3.2,40
2.28571428571429,50
3.2,60
2,46
3.1,36
2.6,55
2.8,33
1.4,64
2.7,53
1.5,46
3.4,51
NA,55
3,28
2,44
3.2,18
1.7,37
1.1,19
2.3,26
2.9,26
2.6,38
2.1,59
3,61
3.6,21
3.1,20
3.3,45
3.1,27
4.5,23
2.5,54
2.3,18
NA,29
3.8,22
2.2,62
2.5,31
2.5,32
4.4,65
4,34
4,22
NA,67
3.2,50
NA,67
2.1,60
3.8,37
NA,60
2.8,58
1.7,67
3.4,28
2.8,33
2.7,22
3.8,24
NA,60
1.7,21
2.1,56
3.3,49
2.5,62
3.33333333333333,66
3.1,53
3.9,21
2.5,46
3.6,23
2,69
2.9,52
2.8,59
3.4,37
3.2,27
NA,34
NA,62
2.8,33
1.5,34
3.1,69
3.1,35
3.4,31
3.4,50
2.6,59
3.5,29
2.75,55
2,62
3.5,49
1.7,67
3.3,29
2,65
2.2,50
4.2,60
3.4,33
3.1,32
2.6,56
1.7,50
3.1,41
NA,65
2.1,47
2,24
1.6,63
3.6,30
2.55555555555556,54
NA,54
NA,32
2.5,65
3.9,24
NA,31
2.1,31
2.6,69
1.6,46
1,59
3.4,31
2.7,34
4,35
2.4,55
2.6,49
3.2,28
3.7,18
3.3,37
NA,28
NA,55
NA,38
2.8,55
3.6,45
2.6,38
3.8,27
1.8,32
2.1,33
2.5,31
1.7,55
3.2,22
2.4,32
3,32
2.6,29
3.2,31
2.3,39
4,25
2.4,67
2.4,43
2.5,43
2.1,25
NA,43
3.3,22
2.75,46
2.8,48
1.3,55
2.9,30
1.9,52
3.2,22
2.1,24
3.7,27
3.5,56
